1 15 4 1 0.44 0.9 0.35 
2 8 1 1 0.41 0.7 0.23 
3 0 1 0 0 0 0 
4 3 1 0 0.36 0.5 0.32 
5 2 1 0 0.22 0.53 0 
6 3 0 0 0.53 0.64 0 
7 15 6 2 0.41 0.84 0.33 
8 8 3 0 0.41 0.71 0 
9 4 1 0 0.42 0.79 0.34 
10 2 0 0 0.32 0.56 0.2 
11 6 1 1 0.28 0.96 0.34 
12 11 4 1 0.46 0.84 0.37 
13 5 3 1 0.38 0.75 0.35 
14 9 1 1 0.42 0.81 0.33 
15 4 1 1 0.45 0.86 0.32 
16 3 1 1 0.34 0.72 0.3 
17 13 5 1 0.46 0.75 0 
18 21 4 1 0.44 0.89 0.39 
19 7 1 1 0.47 0.75 0.3 
20 3 0 0 0.38 0.78 0.28 
21 10 5 1 0.38 0.72 0.35 
22 6 1 0 0.42 0.81 0.37 
23 3 1 0 0.35 0.59 0 
24 4 2 0 0.47 0.84 0 
25 12 3 1 0.4 0.85 0.34 
26 4 1 0 0.5 0.7 0 
27 3 0 0 0.49 0.69 0 
28 13 6 1 0.42 0.78 0.34 
29 6 4 1 0.41 0.69 0.14 
30 14 3 1 0.44 0.66 0.35 
31 7 1 1 0.45 0.73 0.31 
32 12 4 1 0.47 0.78 0.26 
33 7 4 1 0.4 0.73 0.34 
34 19 7 1 0.46 0.8 0.22 
35 23 6 2 0.42 0.8 0.35 
36 10 3 1 0.47 0.85 0.42 
37 2 0 0 0.35 0.6 0.33 
38 9 4 1 0.4 0.87 0.33 
39 7 2 0 0.29 0.69 0 
40 4 1 0 0.45 0.8 0 
41 4 1 0 0.36 0.75 0 
42 7 3 1 0.43 0.8 0.31 
43 3 2 0 0.34 0.73 0 
44 7 2 1 0.47 0.75 0.3 
45 1 1 0 0.13 1 0 
46 3 1 0 0.39 0.79 0 
47 10 4 1 0.41 0.76 0.36 
48 9 3 0 0.45 0.63 0 
49 2 1 0 0.25 0.54 0 
50 8 2 1 0.46 0.72 0.15 
51 12 3 1 0.42 0.89 0.43 
52 6 1 0 0.22 0.81 0 
53 8 3 1 0.39 0.71 0 
54 3 1 0 0.33 0.71 0.25 
55 10 1 1 0.45 0.77 0.41 
56 9 6 1 0.43 0.77 0.24 
57 3 1 0 0.4 0.51 1 
58 3 1 0 0.4 0.69 0.2 
59 0 0 0 0 0 0 
60 0 0 0 0 0 0 
61 0 0 0 0 0 0 
62 6 2 1 0.42 0.76 0.32 
63 13 3 1 0.47 0.82 0.4 
64 2 1 0 0.32 0.69 0.1 
65 6 2 0 0.42 0.75 0.35 
66 4 2 0 0.31 0.66 0 
67 3 1 1 0.35 0.9 0.26 
68 16 3 0 0.45 0.76 0 
69 12 3 0 0.43 0.79 0 
70 9 3 0 0.41 0.65 0 
71 1 0 0 0.33 0 0 
72 3 2 0 0.36 0.72 0.24 
73 5 2 0 0.36 0.74 0 
74 4 2 1 0.43 0.71 0 
75 10 3 1 0.45 0.85 0.41 
76 2 1 0 0.4 0.84 0 
77 9 3 1 0.45 0.82 0.4 
78 2 2 0 0.41 0.77 0.38 
79 6 2 1 0.43 0.84 0.39 
80 2 0 0 0.4 0.8 0.14 
81 12 2 1 0.47 0.79 0.3 
82 2 0 0 0.43 0.61 0 
83 9 2 0 0.46 0.79 0.27 
84 5 1 1 0.5 0.72 0.13 
85 5 1 1 0.44 0.8 0.36 
86 14 1 0 0.29 0.77 0 
87 4 1 0 0.36 0.8 0.25 
88 3 1 0 0.5 0.77 0.16 
89 9 4 1 0.48 0.77 0 
90 16 4 0 0.36 0.76 0 
91 3 1 0 0.45 0.68 0.6 
92 4 1 0 0.19 0.5 0 
93 6 2 0 0.38 0.76 0 
94 6 1 1 0.42 0.77 0.39 
95 9 3 1 0.42 0.77 0.36 
96 10 2 1 0.43 0.78 0.41 
97 2 1 0 0.22 1 0 
98 5 2 0 0.37 0.63 0 
99 5 2 1 0.39 0.75 0 
100 5 1 0 0.39 0.65 0.28 
101 2 1 0 0.34 0.72 0.27 
102 4 2 0 0.41 0.73 0.33 
103 5 1 0 0.42 0.69 0 
104 3 1 0 0.31 0 0 
105 4 2 1 0.35 0.66 0.38 
106 8 3 1 0.43 0.83 0.34 
107 8 2 0 0.37 0.7 0 
108 1 0 0 0.4 0.5 0 
109 9 3 1 0.42 0.78 0.29 
110 16 6 1 0.43 0.8 0.37 
111 1 0 0 0 0.66 0 
112 15 6 1 0.41 0.88 0.38 
113 20 6 1 0.44 0.77 0 
114 18 3 1 0.5 0.65 0.27 
115 1 1 0 0.61 0.66 0 
116 4 2 0 0.36 0.83 0.18 
117 3 1 0 0.3 0.25 0 
118 18 3 1 0.49 0.84 0.34 
119 8 4 1 0.4 0.78 0.39 
120 2 1 0 0.3 1 0.2 
121 3 1 0 0.38 0.52 0 
122 2 1 0 0.43 0.66 0.25 
123 13 7 2 0.4 0.73 0.33 
124 1 0 0 0.25 0 0 
125 5 1 0 0.45 0.64 0.22 
126 3 0 0 0.4 0 0.5 
127 5 2 0 0.35 0.61 0 
128 11 3 0 0.4 0.74 0 
129 8 1 1 0.39 0.71 0.35 
130 8 8 2 0.45 0.82 0.27 
131 1 0 0 0.4 0 0 
132 1 0 0 0.33 0 0 
133 6 1 1 0.4 0.76 0.29 
134 2 0 0 0.31 0.75 0.16 
135 5 2 0 0.4 0.87 0.26 
136 14 3 1 0.45 0.85 0.33 
137 6 2 1 0.47 0.82 0.31 
138 3 1 0 0.34 0.5 0.25 
139 1 1 0 0.25 0 0 
140 9 3 1 0.41 0.66 0 
141 9 3 1 0.41 0.87 0.34 
142 8 1 1 0.43 0.78 0 
143 1 0 0 0.28 0.33 0.15 
144 6 2 0 0.46 0.68 0 
145 3 1 0 0.41 0.58 0 
146 5 2 2 0.43 0.72 0.29 
147 2 1 0 0.26 0.39 0 
148 14 6 2 0.44 0.87 0.35 
149 4 1 0 0.25 0.79 0 
150 7 3 1 0.4 0.82 0.3 
151 13 4 0 0.38 0.8 0 
152 6 2 1 0.34 0.74 0.33 
153 6 1 1 0.38 0.79 0.25 
